" Copy"," Copy"
"Action","Tegevus"
"Add New Template","Lisa uus mall"
"Add to Queue","Lisa järjekorda"
"Are you sure that you want to delete this template?","Olete Te kindel et soovite seda malli kustutada"
"Are you sure that you want to strip all tags?","Olete Te kindel et soovite eemaldada kõik html tag'id?"
"Back","Tagasi"
"Cancel","Katkesta"
"Cancelled","Katkestatud"
"Cannot delete subscriber","Cannot delete subscriber"
"Cannot delete template","Cannot delete template"
"Cannot mark as received subscriber","Cannot mark as received subscriber"
"Cannot save your subscription: %s","Cannot save your subscription: %s"
"Confirmation Email Sender","Kinnitava e-kirja saatja:"
"Confirmation Email Template","Kinnitava e-kirja mall"
"Confirmation request has been sent","Confirmation request has been sent"
"Convert to Plain Text","Konventeeri tekstiks"
"Create Newsletter Template","Loo uudiskirja mall"
"Customer","Klient"
"Customer Firstname","Kliendi eesnimi"
"Customer Lastname","Kliendi perekonnanimi"
"Date Added","Lisamise kuupäev"
"Date Updated","Uuendamise kuupäev"
"Delete Selected Problems","Kustuta valitud probleemid"
"Delete Template","Kustuta mall"
"Do you really want to cancel the queue?","Kas Te tõesti tahate katkestada järjekorra?"
"Duplicate of template code","Duplicate of template code"
"Edit Newsletter","Muuda uudiskirja"
"Edit Newsletter Template","Muuda uudiskirja malli"
"Edit Queue","Muuda järjekorda"
"Edit Template","Muuda malli"
"Email","E-posti aadress"
"Enter your email address","Sisesta oma e-kirja aadress"
"Error Code","Vea kood"
"Error Text","Vea tekst"
"Form was filled incorrectly","Form was filled incorrectly"
"Guest","Külaline"
"ID","ID"
"Invalid queue selected","Invalid queue selected"
"Invalid subscriber ID","Invalid subscriber ID"
"Invalid subscription ID","Invalid subscription ID"
"Invalid subscription confirmation code","Invalid subscription confirmation code"
"Message","Sõnum"
"Need to Confirm","Vajadus kinnitada"
"New Newsletter Template","Uus uudiskirja mall"
"New Template","Uus mall"
"Newsletter","Uudiskiri"
"Newsletter Message Preview","Uudiskirja sõnumi eelvaade"
"Newsletter Problem Reports","Uudiskirja probleemi rapordid"
"Newsletter Queue","Uudiskirja järjekord"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscribers","Uudiskirja tellijad"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","Tellitud uudiskirjad"
"Newsletter Templates","Uudiskirja mall"
"Newsletter subscription confirmation","Uudiskirja tellimuse kinnitus"
"Newsletter subscription success","Uudiskirja tellimine edukas"
"Newsletter unsubscription success","Uudiskirja tellimuse katkestamine edukas"
"No Templates Found","Malli ei leitud"
"No problems found","No problems found"
"No subscribers selected","No subscribers selected"
"Not Sent","Ei ole saadetud"
"Not activated","Aktiveerimata"
"Pause","Peata"
"Paused","Peatatud"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","Palun sisesta uue malli nimi"
"Please select subscriber(s)","Palun vali tellija(d)"
"Preview","Eelvaade"
"Preview Template","Malli eelvaade"
"Processed","Töödeldud"
"Queue Date Start","Järjekorra kuupäeva algus"
"Queue Finish","Järjekorra lõpp"
"Queue Information","Järjekorra informatsioon"
"Queue Newsletter","Queue Newsletter"
"Queue Start","Järjekorra algus"
"Queue Subject","Järjekorra subjekt"
"Recipients","Saajad"
"Reset","Algseadista"
"Resume","Jätka"
"Return Html Version","Return Html Version"
"Save And Resume","Salvesta ja jätka"
"Save As","Salvesta kui"
"Save Newsletter","Salvesta uudiskiri"
"Save Template","Salvesta mall"
"Selected problem subscribers successfully unsubscribed","Selected problem subscribers successfully unsubscribed"
"Selected problems successfully deleted","Selected problems successfully deleted"
"Sender","Saatja"
"Sender Email","Saatja e-kiri"
"Sender Name","Saatja nimi"
"Sending","Saadan"
"Sending Options","Sending Options"
"Sent","Saadetud"
"Set Return-Path","Set Return-Path"
"Sign me up","Sign me up"
"Sign up for our newsletter:","Liitu meie uudiskirjaga:"
"Start","Alusta"
"Status","Staatus"
"Store","Pood"
"Store View","Poe vaade"
"Subject","Teema"
"Subscribe","Telli"
"Subscribed","Subscribed"
"Subscriber","Tellija "
"Subscribers","Tellijad"
"Subscribers From","Tellijad"
"Subscription Options","Tellimise valikud"
"Success Email Sender","Edukas e-kirja saatja"
"Success Email Template","E-posti põhi õnnestumise korral"
"Template Content","Malli sisu"
"Template Information","Malli informatsioon"
"Template Name","Malli nimi"
"Template Subject","Malli subjekt"
"Template Type","Malli tüüp"
"Thank you for your subscription","Thank you for your subscription"
"The subscription was successfully saved","The subscription was successfully saved"
"There was a problem with the subscription","There was a problem with the subscription"
"There was a problem with the subscription: %s","Probleem tellimusega: %s"
"There was a problem with the un-subscription.","Probleem tellimuse katkestamisega"
"There was an error while saving your subscription","There was an error while saving your subscription"
"Toggle Editor","Toggle Editor"
"Type","Tüüp"
"Unsubscribe","Katkesta tellimus"
"Unsubscribe Selected","Katkesta valitute tellimine"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","Tellimise katkestamise e-kirja saatja"
"Unsubscription Email Template","Tellimuse katkestamise e-kirja mall"
"View Newsletter","Vaata uudiskirja"
"Website","Veebisait"
"You have been successfully unsubscribed.","You have been successfully unsubscribed."
"Your subscription was successfully confirmed","Your subscription was successfully confirmed"
"Sign up for our newsletter:","Liitu meie uudiskirjaga:"
"Subscribe","Telli"
"Newsletter","Uudiskiri"
"Sign up for our newsletter","Liitu meie uudiskirjaga"
"Newsletter Subscriptions","Tellitud uudiskirjad"
