"--Please Select--","--Please Select--"
"<label>Make Check payable to:</label> %s","<label>Märgi tshekimakse saajaks:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Make Check payable to</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Can not retrieve payment info model object.","Can not retrieve payment info model object."
"Can not retrieve payment method instance","Can not retrieve payment method instance"
"Can not retrieve payment method model object.","Can not retrieve payment method model object."
"Card Verification Number","Card Verification Number"
"Check / Money order","Tšekk / Ettemaksuarve"
"Credit Card Number","Krediitkaardi number"
"Credit Card Number: %s","Credit Card Number: %s"
"Credit Card Number: xxxx-%s","Krediitkaardi number: xxxx-%s"
"Credit Card Type","Krediitkaardi tüüp"
"Credit Card Type: %s","Krediitkaardi tüüp: %s"
"Credit Card Types","Krediitkaardi tüübid"
"Credit Card Verification","Credit Card Verification"
"Enabled","Lubatud"
"Expiration Date","Aegumistähtaeg"
"Expiration Date: %s/%s","Aegumistähtaeg: %s/%s"
"Make Check payable to","Make Check payable to"
"Make Check payable to: %s","Märgi tshekimakse saajaks: %s"
"Maximum Order Total","Maximum Order Total"
"Minimum Order Total","Vähim lubatud tellimus"
"Month","Kuu"
"Name on Card","Nimi kaardil"
"Name on the Card: %s","Nimi kaardil: %s"
"New order status","Uue tellimuse staatus"
"Payment Methods","Makseviisid"
"Payment Methods Section","Payment Methods Section"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Purchase Order Number","Ostutellimuse number"
"Purchase Order Number: %s","Ostutellimuse number: %s"
"Purchase order","Purchase order"
"Saved CC","Salvestatud krediitkaart"
"Send Check to","Saata tshekk"
"Send Check to:","Saada tshekk:"
"Sort order","Sort order"
"Title","Nimetus"
"What is this?","Mis see on?"
"Year","Aasta"
"Zero Subtotal Checkout","Null summa maksmine"
