"Alert Email Sender","Teavituse e-kirja saatja"
"Alert subscription was deleted successfully","Alert subscription was deleted successfully"
"Alert subscription was saved successfully","Alert subscription was saved successfully"
"Allow alert when product comes back in stock","Allow alert when product comes back in stock"
"Allow alert when product price changes","Allow alert when product price changes"
"Click here not to receive alerts for this product","Kliki siia teavituste mittesaamiseks selle toote kohta"
"Error Email Recipient","Vea e-kirja saaja"
"Error Email Sender","Vea e-kirja saatja"
"Error Email Template","Vea e-kirja mall "
"Frequency","Sagedus"
"Not enough parameters","Not enough parameters"
"Please try again later","Please try again later"
"Price alert Email Template","Price alert Email Template"
"Price:","Hind:"
"Product Alerts","Toote teavitused"
"Product Alerts Run Settings","Toote teavituste jooksutamise seaded"
"Product alerts Cron error","Toote teavituste ajastamise viga"
"Product not found","Toodet ei leitud"
"Product price alert","Toote hinna teavitus"
"Product stock alert","Toote laoseisu teavitus"
"Sign up for price alert","Telli hinnateavitus"
"Sign up to get notified when this product is back in stock","Telli teavitus selle kohta millal see toode jälle laos on"
"Special price:","Erihind:"
"Start Time","Start Time"
"Stock alert Email Template","Stock alert Email Template"
"Unsubscribe from all price alerts","Katkesta kõikide hinnateavituste tellimus"
"Unsubscribe from all stock alerts","Tühista laoseisudest teavitamine"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Te saite selle teate kuna tellisite teavituse millal järgnevad tooted on jälle laos olemas:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Te saite selle teate kuna tellisite teavituse millal on järgnevate toodete hinnad muutunud:"
"You will no longer receive price alerts for this product","You will no longer receive price alerts for this product"
"You will no longer receive stock alerts","You will no longer receive stock alerts"
"You will no longer receive stock alerts for this product","You will no longer receive stock alerts for this product"
