"%d Review(s)","%d Kommentaar(i)"
"%s Review(s)","%s kommentaar(i)"
"(Posted on %s)","(Postitatud %s)"
"1 star","1"
"2 stars","2"
"3 stars","3"
"4 stars","4"
"5 stars","5"
"Add New Review","Lisa uus kommentaar"
"Add Your Review","Lisa oma kommentaar"
"Administrator","Administraator"
"All Reviews","Kõik kommentaarid"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Luba registreerimata kasutajatel arvustada"
"Are you sure you want to do this?","Olete Te kindel, et soovite seda teha?"
"Are you sure?","Olete Te kindel?"
"Average Customer Rating","Keskmine reiting"
"Average Customer Rating:","Keskmine reiting:"
"Back","Tagasi"
"Back to Main Product Info","Tagasi toote lehele"
"Back to My Reviews","Tagasi minu kommentaaride juurde"
"Back to Product Reviews","Tagasi toote kommentaaride juurde"
"Be the first to review this product","Ole esimene, kes sellele tootele kommentaari kirjutab"
"Created On","Kuupäev"
"Customer","Klient"
"Customer Reviews","Kliendi kommentaarid"
"Delete","Kustuta"
"Delete Review","Kustuta kommentaar"
"Detailed Rating","Üksikasjalik reiting"
"Edit Review '%s'","Muuda kommentaari '%s'"
"Guest","Külaline"
"How do you rate this product?","Kuidas Te hindate seda toodet?"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Minu arvustused"
"My Recent Reviews","Minu hiljutised kommentaarid"
"Name","Nimi"
"Name In Store","Name In Store"
"New Review","Uus kommentaar"
"Nickname","Nimi, mille all kommentaar ilmub"
"Pending Reviews","Kinnitamata kommentaarid"
"Pending reviews","Ootel arvustused"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Palun valige toode"
"Please select one of each of the ratings above","Palun valige üks igast reitingust ülalpool"
"Posted By","Postitas"
"Price","Hind"
"Product","Toode"
"Product Name","Toote nimetus"
"Product Rating","Hinnang"
"Product Rating:","Toote reiting:"
"Product Review (submitted on %s):","Toote kommentaar: (postitatud %s)"
"Product Reviews","Toote kommentaarid"
"Product SKU","Toote SKU"
"Qty","Kogus"
"Rating:","Reiting:"
"Review","Kommentaar"
"Review Details","Kommentaari üksikasjad"
"Review by %s","Review by %s"
"Reviews and Ratings","Arvustused ja hinded"
"SKU","Laokood"
"Save Review","Salvesta Kommentaar"
"Status","Staatus"
"Submit Review","Esita kommentaar"
"Summary Rating","Summaarne reiting"
"Summary of Review","Kommentaari kokkuvõte"
"Summary of Your Review","Teie kommentaari kokkuvõte"
"Summary of review","Summary of review"
"Title","Nimetus"
"Type","Tüüp"
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later."
"Update status","Update status"
"View All Reviews","Vaata kõiki kommentaare"
"View Details","Vaata üksikasju"
"Visible In","Nähtav"
"Websites","Websites"
"Write Your Own Review","Andke oma kommentaar"
"You have submitted no reviews.","Te ei ole arvustanud ühtegi toodet."
"You're reviewing: %s","You're reviewing: %s"
"Your Rating:","Teie kommentaar:"
"Your Review (submitted on %s):","Teie kommentaar (esitatud %s):"
"Your review has been accepted for moderation","Your review has been accepted for moderation"
"OR","VÕI"
"My Product Reviews","Minu arvustused"
