"%s - Discounts and Coupons","%s - Discounts and Coupons"
"%s - Special Discounts","%s - Special Discounts"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s on jõudnud koguseni %s."
"%s's Wishlist","%s's Wishlist"
"Cannot retrieve the wishlist","Ei saa soovikorvi kätte"
"Catalog","Kataloog"
"Category Feeds","Kategooriavood"
"Comment: %s<br/>","Kommentaarid: %s<br/>"
"Coupons/Discounts","Kupongid/allahindlused"
"Current Status: %s<br/>","Hetkestaatus: %s <br />"
"Customer Name: %s","Kliendi nimi: %s"
"Customer Order Status Notification","Kliendi tellimuse staatuse teavitus"
"Details for %s #%s","Üksikasjad %s nr %s"
"Discount ","Allahindlus"
"Enable RSS","Luba RSS"
"Error in processing xml. %s","Viga xml protsessimisel. %s"
"From:","Kellelt:"
"Get Feed","Võta kanal"
"Gift Message","Kingituse sõnum"
"Grand Total","Kogusumma"
"Low Stock Products","Madala laoseisuga tooted"
"Message:","Sõnum:"
"Miscellaneous Feeds","Muud vood"
"New Orders","Uued tellimused"
"New Products","Uued tooted"
"New Products from %s","Uued tooted %s"
"Notified Date: %s<br/>","Teavitamise kuupäev: %s<br/>"
"Order # %s Notification(s)","Tellimuse nr %s teavitus(ed)"
"Order #%s created at %s","Tellimus nr %s loodud %s"
"Pending product review(s)","Pending product review(s)"
"Product: ""%s"" review By: %s","Toode: ""%s"" kommentaari kirjutaja: %s"
"Product: <a href=""%s"">%s</a> <br/>","Toode: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Tooted märksõnaga %s"
"Purchased From: %s","Ostetud: %s"
"RSS","RSS"
"RSS Feeds","RSS kanalid"
"RSS testing","RSS testing"
"Review: %s <br/>","Kommentaar: %s <br/>"
"Rss Config","Rss konfig"
"Rss Feeds Section","Rss Feeds Section"
"Shipping & Handling","Shipping & Handling"
"Special Products","Eritooted"
"Special/Discount Products","Special/Discount Products"
"Store: %s <br/>","Pood: %s <br/>"
"Subtotal","Vahesumma"
"Summary of review: %s <br/>","Kommentaari kokkuvõte: %s <br/>"
"Tags Products","Märksõna tooted"
"Tax","Maksud"
"There are no Rss Feeds","There are no Rss Feeds"
"There are no Rss Feeds.","There are no Rss Feeds."
"To:","Kellele:"
"Top Level Category","Kõrgeima taseme kategooria"
"Total Products: %s","Total Products: %s"
"Total: %s<br/>","Kokku: %s<br/>"
"Wishlist","Soovikorv"
"click <a href=""%s"">here</a> to view the review","kliki <a href=""%s"">siia</a> nägemaks kommentaari"
