"Actions","Actions"
"Active","Aktiivne"
"Add New Rule","Lisa reegel"
"Apply","Rakenda"
"Apply the rule only if the following conditions are met (leave blank for all products)","Rakenda reeglit ainult siis kui jägnevad tingimused on täidetud (jäta tühjaks kõikide toodete jaoks)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Rakenda reeglit ainult ostukorvi toodetele mis vastavad järgmistele tingimustele (jäta tühjaks kõikidele toodetele)"
"Apply the rule to cart items matching the following conditions","Rakenda reeglit ostukorvis olevatele toodetele mis vastavad järgmistele tingimustele"
"Apply to","Apply to"
"Buy X get Y free (discount amount is Y)","Osta X saa Y tasuta (allahindluse summa on Y)"
"By Fixed Amount","Fikseeritud summa järgi"
"By Fixed value","Fikseeritud väärtuse järgi"
"By Percentage","Protsendi järgi"
"By Percentage of the original price","By Percentage of the original price"
"Cart Attribute","Ostukorvi atribuut"
"Catalog","Kataloog"
"Conditions","Tingimused"
"Conditions combination","Tingimuste kombinatsioon"
"Coupon Code","Kupongi kood"
"Coupon code","Kupongi kood"
"Customer Groups","Kliendigrupid"
"Customer is new buyer: %s","Klient on uus ostja: %s"
"Customer registered: %s","Klient registreerus: %s"
"Date Expire","Aegumise kuupäev"
"Date Start","Alguse kuupäev"
"Delete Rule","Kustuta reegel"
"Description","Kirjeldus"
"Description: %s","Kirjeldus: %s"
"Discount Qty Step (Buy X)","Allahindluse koguse samm  (osta X)"
"Discount amount","Discount amount"
"Edit Rule","Muuda reeglit"
"Edit Rule '%s'","Muuda reeglit '%s'"
"Expire at: %s","Aegumise kuupäev: %s"
"Fixed amount discount","Fikseeritud summa allahindlus"
"Fixed amount discount for whole cart","Fikseeritud summa allahindlus kogu ostukorvile"
"For matching items only","Ainult sobivatele toodetele"
"For shipment with matching items","Kohaletoimetamiseks koos sobivate toodetega"
"Free shipping","Tasuta tarne"
"From Date","Alates kuupäevast"
"General Information","Üldinfo"
"ID","ID"
"Inactive","Mitteaktiivne"
"Maximum Qty Discount is Applied to","Suurim kogus millele kehtib allahindlus"
"NOT LOGGED IN","EI OLE SISSE LOGITUD"
"Name: %s","Nimi %s"
"New Rule","Uus reegel"
"No","Ei"
"Payment Method","Makseviis"
"Percent of product price discount","Toote soodustuse protsent"
"Price in cart","Hind ostukorvis"
"Priority","Prioriteet"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Promotions","Turundusvahendid"
"Public In RSS Feed","Avalik RSS kanalis"
"Quantity in cart","Kogus ostukorvis"
"Row total in cart","Rea summa ostukorvis"
"Rule Information","Reegli informatsioon"
"Rule Name","Reegli nimi"
"Rule was successfully deleted","Reegel kustutatud"
"Rule was successfully saved","Reegel salvestatud"
"Save Rule","Salvesta reegel"
"Shipping Country","Kohaletoimetamise riik"
"Shipping Method","Kohaletoimetamis meetod"
"Shipping Postcode","Kohaletoimetamis postiindeks"
"Shipping Region","Kohaletoimetamise maakond"
"Shipping State/Province","Kohaletoimetamise maakond"
"Shopping Cart Price Rule","Ostukorvi hinnareegel"
"Shopping Cart Price Rules","Ostukorvi hinnareeglid"
"Special price","Soodushind"
"Start at: %s","Alusta: %s"
"Status","Staatus"
"Stop further rules processing","Stop further rules processing"
"Subtotal","Vahesumma"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"This rule no longer exists","This rule no longer exists"
"To Date","Kuupäevani"
"To Fixed Amount","Fikseeritud summaleProtsendile"
"To Fixed Value","Fikseeritud väärtusele"
"To Percentage","Protsendini"
"To Percentage of the original price","To Percentage of the original price"
"Total Items Quantity","Ühikute kogus kokku"
"Total Weight","Kogukaal"
"Unable to find a page to delete","Unable to find a page to delete"
"Update prices using the following information","Uuend hindasid kasutades järgnevat informatsiooni"
"Update product's %s %s: %s","Uuenda tooteid %s %s: %s"
"Update the Product","Uuenda toodet"
"Uses per coupon","Kasutuskordi kupongi kohta"
"Uses per customer","Kasutuskordi kliendi kohta"
"Yes","Jah"
