"Add Recipient","Lisa saaja"
"Allow for Guests","Lubatud registreerimata kasutajatele"
"Email Address","E-posti aadress"
"Email Address:","E-posti aadress"
"Email templates","E-posti põhjad"
"Email to a Friend","Saada sõbrale"
"Email:","E-kiri:"
"Enabled","Lubatud"
"Limit Sending By","Piira saatmist"
"Link to a friend was sent.","Viide saadeti sõbrale."
"Max Products Sent in 1 Hour","Maks tooteid saadetud ühe tunni jooksul"
"Max Recipients","Maks saajaid"
"Maximum %d email addresses allowed.","Maksimaalselt %d E-kirii aadresse lubatud."
"Message:","Sõnum:"
"Name","Nimi"
"Name:","Nimi:"
"Recipient:","Saaja:"
"Remove Email","Eemalda e-kiri"
"Select email template","Vali e-posti põhi"
"Send email","Saada sõnum"
"Send product to a friend","Saada toode sõbrale"
"Sender:","Saatja:"
"Some emails was not sent","Some emails was not sent"
"Some problems with data.","Some problems with data."
"You cannot email this product to a friend","You cannot email this product to a friend"
"You cannot send more than %d times in an hour","You cannot send more than %d times in an hour"
