"# of Uses","kasutuskordi"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Tegevus"
"Actions","Tegevused"
"Add New Tag","Lisa märksõna"
"Add Tags","Lisa märksõnu"
"Add Your Tags:","Lisa oma märksõnu"
"Add to Cart","Lisa ostukorvi"
"Add to Wishlist","Lisa soovikorvi"
"All Tags","Kõik märksõnad"
"Approved","Kinnitatud"
"Are you sure that you want to delete this tag?","Soovid selle märksõna kustutada?"
"Are you sure you want to delete this tag?","Olete Te kindel, et soovite kustutada seda märksõna?"
"Are you sure you want to do this?","Olete Te kindel, et soovite seda teha?"
"Are you sure?","Olete Te kindel?"
"Back","Tagasi"
"Back to Tags List","Tagasi märksõnade nimekirja"
"Back to view Tag","Back to view Tag"
"Block Information","Blokeerimise info"
"CSV","CSV"
"Change status","Muuda staatust"
"Click on a tag to view your corresponding products.","Kliki märksõnal, et näha enda poolt märgitud tooteid."
"Country","Riik"
"Customer Since","Klient alates"
"Customers","Kliendid"
"Customers Tagged '%s'","Kliendid on sildistanud '%s'"
"Delete","Kustuta"
"Delete Tag","Kustuta märksõna"
"Disabled","Keelatud"
"Edit Tag","Muuda märksõna"
"Edit Tag '%s'","Muuda märksõna '%s'"
"Email","E-posti aadress"
"First Name","Eesnimi"
"General Information","Üldinfo"
"Grid","Tabel"
"ID","ID"
"Last Name","Perekonnanimi"
"List","Nimekiri"
"My Recent Tags","Minu viimased märksõnad"
"My Tags","Minu märksõnad"
"Name","Nimi"
"New Tag","Uus märksõna"
"No matches found.","Vasteid ei leitud."
"Other people marked this product with these tags:","Teised on sellele tootele pannud selliseid märksõnu:"
"Pending","Ootel"
"Pending Tags","Ootel märksõnad"
"Popular","Populaarsed"
"Popular Tags","Populaarsed märksõnad"
"Popularity","Popularity"
"Price","Hind"
"Product Name","Toote nimi"
"Product SKU","Toote SKU"
"Product Tags","Toote märksõnad"
"Products","Tooted"
"Products Tagged with '%s'","Tooted märksõnaga '%s'"
"Products tagged with '%s'","Tooted märksõnaga '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Products tagged with '%s' (<a href='%s'>RSS</a>)"
"SKU","Laokood"
"Save Tag","Salvesta märksõna"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Search Results for '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Staatus"
"Tag","Märksõna"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Tag Information"
"Tag Name","Märksõna nimi"
"Tag Name: %s","Tag Name: %s"
"Tag can't be empty.","Tag can't be empty."
"Tagged in","Tagged in"
"Tags","Märksõnad"
"Tags Aren't Available","Tags Aren't Available"
"Tags:","Märksõnad:"
"Telephone","Telefon"
"Thank you. Your tag has been accepted for moderation.","Thank you. Your tag has been accepted for moderation."
"Unable to find any products tagged with '%s' in the current store","Ei leia ühtegi toodet märksõnaga '%s' selles poes"
"Unable to remove tag. Please, try again later.","Märksõna ei saanud kustutada. Palun proovige hiljem uuesti."
"Unable to save tag(s)","Unable to save tag(s)"
"Unable to save your tag. Please, try again later.","Unable to save your tag. Please, try again later."
"Use spaces to separate tags. Use single quotes (') for phrases.","Kasutage tühikuid märksõnade eraldamiseks. Kasutada ülakoma (') fraaside jaoks."
"Uses","Uses"
"View All","View All"
"View All Tags","Vaata kõiki märksõnu"
"View Customers","Vaata kliente"
"View Products","Vaata tooteid"
"Visible In","Visible In"
"XML","XML"
"You have not tagged any products yet.","Te pole lisanud märksõnu ühelegi tootele."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Postiindeks"
"You have not tagged any products yet.","Te pole lisanud märksõnu ühelegi tootele."
